"video_id","trending_date","title","channel_title","category_id","category","publish_date","publish_time","tags","views","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","video_error_or_removed","description","country"
"D_6QmL6rExk","2018-06-14","BTS (방탄소년단) 'FAKE LOVE' Official MV (Extended ver.)","ibighit",10,"Music","2018-06-01","15:00:01","BIGHIT|""빅히트""|""방탄소년단""|""BTS""|""BANGTAN""|""방탄""|""fake love""|""FAKE LOVE""",12709520,1817699,11949,156793,"https://i.ytimg.com/vi/D_6QmL6rExk/default.jpg",False,False,False,"BTS (방탄소년단) 'FAKE LOVE' Official MV (Extended ver.)Director : YongSeok Choi (Lumpens)Assistant Director : WonJu Lee, Guzza, HyeJeong Park, MinJe Jeong (Lumpens)Director of Photography : HyunWoo Nam(GDW)Gaffer : HyunSuk Song (Real Lighting)Art Director : JinSil Park Bona Kim (MU:E)Construction Manager : SukKi Song Special Effect : DemolitionBigHit Entertainment. Rights are reserved selectively in the video.Unauthorized reproduction is a violation of applicable laws. Manufactured by BigHit Entertainment, Seoul, KoreaConnect with BTS:http://www.ibighit.com http://twitter.com/BTS_bighit http://twitter.com/BTS_twt https://www.facebook.com/ibighit/http://www.facebook.com/bangtan.officialhttp://instagram.com/BTS.bighitofficialhttp://weibo.com/BTSbighitBU content certified by Big Hit Entertainment","GB"
"8O_MwlZ2dEg","2018-04-05","j-hope 'Airplane' MV","ibighit",10,"Music","2018-03-06","15:00:10","BIGHIT|""빅히트""|""방탄소년단""|""BTS""|""BANGTAN""|""방탄""",15635625,1841936,12330,183567,"https://i.ytimg.com/vi/8O_MwlZ2dEg/default.jpg",False,False,False,"j-hope 'Airplane' MV    j-hope - 'Hope World' Full Mixtape Download Google: https://bit.ly/2ovoi8m MediaFire: https://bit.ly/2owaKcq Dropbox: https://bit.ly/2GPsNRBv    Credit:   Music Video  Produced by GDW Executive Producer : Cathy Kim Producer : Andow Production Coordinator : Dooho Kwak  Director : Woogie Kim Assistant Director : Changhwi Choi, Hyesu Han Production Assistant : Bonseung Koo DIT : Andy Iere Kim  Director of Photography : Hyunwoo Nam Focus Puller : Siu Um 2nd AC : Seungchul Shin 3rd AC : Wesley Chang  Jimmy Jib Operator : Gwangho Song  Gaffer : Hyeonseok Song  Location Manager : Tae Heon Kim (Lo-Fi)    Music   Produced by j-hope, Supreme Boi (j-hope, Supreme Boi)     BigHit Entertainment. All rights reserved.  Unauthorized reproduction is a violation of applicable laws.  Manufactured by BigHit Entertainment, Seoul, Korea.     Connect with BTS: http://www.ibighit.com  http://twitter.com/BTS_bighit  http://twitter.com/BTS_twt  https://www.facebook.com/ibighit http://www.facebook.com/bangtan.official http://instagram.com/BTS.bighitofficial http://weibo.com/BTSbighit","GB"
"kX0vO4vlJuU","2018-05-06","BTS (방탄소년단) 'Euphoria : Theme of LOVE YOURSELF 起 Wonder'","ibighit",10,"Music","2018-04-05","15:00:05","BIGHIT|""빅히트""|""방탄소년단""|""BTS""|""BANGTAN""|""방탄""",20721039,2250087,20951,234455,"https://i.ytimg.com/vi/kX0vO4vlJuU/default.jpg",False,False,False,"BTS (방탄소년단) 'Euphoria : Theme of LOVE YOURSELF 起 Wonder'credits:Director : YongSeok Choi (Lumpens)Assistant Director : WonJu Lee (Lumpens)Director of Photography : HyunWoo Nam(GDW)Gaffer : HyunSuk Song (Real Lighting)Art Director : JinSil Park Bona Kim (MU:E)Producer : Emma SungEun Kim (GE Production)BigHit Entertainment. Rights are reserved selectively in the video.Unauthorized reproduction is a violation of applicable laws. Manufactured by BigHit Entertainment, Seoul, KoreaConnect with BTS:http://www.ibighit.comhttp://weibo.com/BTSbighithttp://twitter.com/BTS_bighithttp://twitter.com/BTS_twthttps://www.facebook.com/ibighit/http://www.facebook.com/bangtan.officialhttp://instagram.com/BTS.bighitofficialBU content certified by Big Hit Entertainment","GB"
"7C2z4GqqS5E","2018-06-01","BTS (방탄소년단) 'FAKE LOVE' Official MV","ibighit",10,"Music","2018-05-18","09:00:02","BIGHIT|""빅히트""|""방탄소년단""|""BTS""|""BANGTAN""|""방탄""|""FAKE LOVE""|""FAKE_LOVE""|""fake love""",123010920,5613827,206892,1228655,"https://i.ytimg.com/vi/7C2z4GqqS5E/default.jpg",False,False,False,"BTS (방탄소년단) 'FAKE LOVE' Official MVDirector : YongSeok Choi (Lumpens)Assistant Director : WonJu Lee, Guzza, HyeJeong Park, MinJe Jeong (Lumpens)Director of Photography : HyunWoo Nam(GDW)Gaffer : HyunSuk Song (Real Lighting)Art Director : JinSil Park Bona Kim (MU:E)Construction Manager : SukKi Song Special Effect : DemolitionBigHit Entertainment. Rights are reserved selectively in the video.Unauthorized reproduction is a violation of applicable laws. Manufactured by BigHit Entertainment, Seoul, KoreaConnect with BTS:http://www.ibighit.com http://twitter.com/BTS_bighit http://twitter.com/BTS_twt https://www.facebook.com/ibighit/http://www.facebook.com/bangtan.officialhttp://instagram.com/BTS.bighitofficialhttp://weibo.com/BTSbighitBU content certified by Big Hit Entertainment","GB"
"rRzxEiBLQCA","2017-12-24","TWICE Heart Shaker M/V","jypentertainment",10,"Music","2017-12-11","08:59:59","TWICE Heart Shaker|""TWICE 하트셰이커""|""트와이스 Heart Shaker""|""트와이스 하트셰이커""|""Heart Shaker""|""하트셰이커""|""TWICE""|""트와이스""|""Heart Shaker M/V""|""Heart Shaker MV""|""Heart Shaker Music Video""|""Heart Shaker 뮤직비디오""|""Heart Shaker 뮤비""|""하트셰이커 M/V""|""하트셰이커 MV""|""하트셰이커 뮤직비디오""|""하트셰이커 뮤비""|""하트셰이커 Music Video""|""TWICE M/V""|""TWICE MV""|""TWICE Music Video""|""TWICE 뮤직비디오""|""TWICE 뮤비""|""트와이스 M/V""|""트와이스 MV""|""트와이스 Music Video""|""트와이스 뮤직비디오""|""트와이스 뮤비""|""TWICE Merry Happy""|""트와이스 Merry Happy""|""트와이스 메리 해피""|""Merry Happy""|""Merry & Happy""|""메리해피""",55754734,1052809,103994,169779,"https://i.ytimg.com/vi/rRzxEiBLQCA/default.jpg",False,False,False,"TWICE(트와이스) Heart Shaker M/V  The 1st Album : Repackage Merry & Happy iTunes & Apple Music https://itunes.apple.com/album/merry-happy/1323890122  TWICE Official YouTube: http://www.youtube.com/c/TWICEonAir TWICE Official Facebook: http://www.facebook.com/JYPETWICE TWICE Official Twitter: http://www.twitter.com/JYPETWICE TWICE Official Instagram: http://www.instagram.com/TWICETAGRAM TWICE Official Homepage: http://TWICE.jype.com TWICE Official Fan's: http://fans.jype.com/TWICE  ⓒ 2017 JYP Entertainment. All Rights Reserved","GB"
"sS0LCjOiIhc","2018-04-07","GOT7 Look M/V","jypentertainment",10,"Music","2018-03-12","09:00:02","JYP Entertainment|""JYP""|""GOT7""|""갓세븐""|""GOT7 JB""|""GOT7 잭슨""|""GOT7 진영""|""GOT7 유겸""|""GOT7 영재""|""GOT7 마크""|""GOT7 뱀뱀""|""GOT7 Jackson""|""GOT7 Jinyoung""|""GOT7 Yugyeom""|""GOT7 Youngjae""|""GOT7 Mark""|""GOT7 BamBam""|""갓세븐 JB""|""갓세븐 잭슨""|""갓세븐 진영""|""갓세븐 유겸""|""갓세븐 영재""|""갓세븐 마크""|""갓세븐 뱀뱀""|""JB""|""잭슨""|""진영""|""유겸""|""영재""|""마크""|""뱀뱀""|""Jackson""|""Jinyoung""|""Yugyeom""|""Youngjae""|""Mark""|""BamBam""|""갓세븐 뮤비""|""GOT7 Look""|""갓세븐 룩""|""갓세븐 look""|""Look""|""룩""|""룩 뮤비""|""got7 mv""|""look mv""|""look music video""|""eyes on you""|""아이즈온유""|""got7 eyes on you""|""got7 music video""|""got7 look mv""",31391976,1091118,11924,234054,"https://i.ytimg.com/vi/sS0LCjOiIhc/default.jpg",False,False,False,"GOT7(갓세븐) Look M/V  Find GOT7 Eyes On You on iTunes & Apple Music: https://itunes.apple.com/us/album/eyes-on-you-ep/1358097851  [GOT7 Official]  http://got7.jype.com https://www.youtube.com/c/GOT7 http://www.facebook.com/GOT7Official http://www.twitter.com/GOT7Official http://instagram.com/got7.with.igot7 http://fans.jype.com/GOT7  Copyrights 2018 ⓒ JYP Entertainment. All Rights Reserved","GB"
"lpzJNwur6Zk","2018-02-27","SUZY (수지) 'HOLIDAY (Feat. DPR LIVE)' M/V","jypentertainment",10,"Music","2018-01-29","09:00:04","JYP Entertainment|""JYP""",4336590,127904,3485,7672,"https://i.ytimg.com/vi/lpzJNwur6Zk/default.jpg",False,False,False,"SUZY (수지) 'HOLIDAY (Feat. DPR LIVE)' M/V  1.29 MON 6PM HOLIDAY (Feat. DPR LIVE) : https://melon.do/IkaJIbs2J 1.22 MON 6PM 다른사람을 사랑하고 있어 : https://melon.do/ybJQM96sJ  Suzy Official Twitter: https://twitter.com/jypesuzy Suzy Official Facebook: http://www.facebook.com/JYPESuzy Suzy Official Fan's: http://fans.jype.com/Suzy Suzy Official Homepage: http://suzy.jype.com JYPnation Official Twitter: http://www.twitter.com/jypnation  Copyrights 2018 ⓒ JYP Entertainment. All Rights Reserved.","GB"
"zi_6oaQyckM","2018-01-09","TWICE Merry & Happy M/V","jypentertainment",10,"Music","2017-12-22","03:00:02","TWICE Merry & Happy|""TWICE Merry Happy""|""TWICE 메리앤해피""|""트와이스 Merry & Happy""|""트와이스 Merry Happy""|""트와이스 메리앤해피""|""Merry & Happy""|""Merry and Happy""|""Merry&Happy""|""메리앤해피""|""메리해피""|""메리 & 해피""|""메리앤드해피""|""매리앤해피""|""TWICE""|""트와이스""|""Merry & Happy M/V""|""Merry & Happy MV""|""Merry & Happy Music Video""|""Merry & Happy 뮤직비디오""|""Merry & Happy 뮤비""|""메리앤해피 M/V""|""메리앤해피 MV""|""메리앤해피 뮤직비디오""|""메리앤해피 뮤비""|""Heart Shaker""|""하트셰이커""|""TWICE M/V""|""TWICE MV""|""TWICE Music Video""|""TWICE 뮤비""|""트와이스 M/V""|""트와이스 MV""|""트와이스 뮤직비디오""|""트와이스 뮤비""|""JYP""|""TWICE carol""",8903489,371240,19952,22822,"https://i.ytimg.com/vi/zi_6oaQyckM/default.jpg",False,False,False,"TWICE(트와이스) Merry & Happy M/V  The 1st Album : Repackage Merry & Happy iTunes & Apple Music https://itunes.apple.com/album/merry-happy/1323890122  TWICE Official YouTube: http://www.youtube.com/c/TWICEonAir TWICE Official Facebook: http://www.facebook.com/JYPETWICE TWICE Official Twitter: http://www.twitter.com/JYPETWICE TWICE Official Instagram: http://www.instagram.com/TWICETAGRAM TWICE Official Homepage: http://TWICE.jype.com TWICE Official Fan's: http://fans.jype.com/TWICE  ⓒ 2017 JYP Entertainment. All Rights Reserved","GB"
"MPhAEcLaiNs","2017-12-11","GOT7 Teenager” Performance Video","jypentertainment",10,"Music","2017-12-06","15:00:01","JYP Entertainment|""JYP""|""GOT7""|""갓세븐""|""GOT7 JB""|""GOT7 잭슨""|""GOT7 진영""|""GOT7 유겸""|""GOT7 영재""|""GOT7 마크""|""GOT7 뱀뱀""|""GOT7 Jackson""|""GOT7 Jinyoung""|""GOT7 Yugyeom""|""GOT7 Youngjae""|""GOT7 Mark""|""GOT7 BamBam""|""갓세븐 JB""|""갓세븐 잭슨""|""갓세븐 진영""|""갓세븐 유겸""|""갓세븐 영재""|""갓세븐 마크""|""갓세븐 뱀뱀""|""JB""|""잭슨""|""진영""|""유겸""|""영재""|""마크""|""뱀뱀""|""Jackson""|""Jinyoung""|""Yugyeom""|""Youngjae""|""Mark""|""BamBam""|""7 for 7""|""GOT7 7 for 7""|""갓세븐 7 for 7""|""갓세븐 유아""|""갓세븐 뮤비""|""틴에이저""|""Teenager""|""GOT7 Teenager""|""갓세븐 틴에이저""|""틴에이저 뮤비""|""Teenager MV""|""틴에이저 퍼포먼스""|""Teenager Performance""",2709257,313108,1358,20778,"https://i.ytimg.com/vi/MPhAEcLaiNs/default.jpg",False,False,False,"GOT7 Teenager” Performance Video    Find GOT7 7 for 7 on iTunes & Apple Music: https://itunes.apple.com/us/album/7-for-7/id1294538683  GOT7 Official YouTube: https://www.youtube.com/c/GOT7 GOT7 Official Facebook: http://www.facebook.com/GOT7Official GOT7 Official Twitter: http://www.twitter.com/GOT7Official GOT7 Official Instagram: https://instagram.com/got7.with.igot7 GOT7 Official Fan's: http://fans.jype.com/GOT7 GOT7 Official Homepage: http://got7.jype.com  Copyrights 2017 ⓒ JYP Entertainment. All Rights Reserved.","GB"
"2MiQonPvlVM","2018-06-14","Yubin 숙녀 (淑女) M/V","jypentertainment",10,"Music","2018-06-05","09:00:01","JYP Entertainment|""JYP""|""Yubin""|""유빈""|""First Solo""|""유빈 솔로""|""숙녀""|""Lady""|""도시여자""|""도시애""|""시티팝""|""music video""|""mv""|""choreography""|""choreography video""|""teaser""|""티저""|""뮤비 티저""|""MV teaser""|""유빈 티저""|""yubin teaser""|""yubin solo""|""yubin lady""|""유빈 숙녀""|""yubin debut""|""유빈 음원""|""유빈 뮤비""|""yubin mv""|""유빈 mv""|""유빈 뮤직비디오""|""숙녀 뮤직비디오""|""숙녀 뮤비""|""lady mv""|""yubin lady mv""|""#유빈""|""#Yubin""|""#都市女子""|""#도시여자""|""#숙녀""|""#淑女""|""#JYP""|""#김유빈""|""#안무연습영상""|""#안무""|""#군무""|""#춤선""|""#춤""|""#하우헤브유빈""|""#인천공항""|""#LA""|""#걸그러쉬""|""#첫방""|""#비글""|""#랜선데이트""|""#라이브""|""#댄스""|""#네이버""|""#브이""|""#생중계""|""#음원""|""#뮤직비디오""",2361405,90036,3970,10271,"https://i.ytimg.com/vi/2MiQonPvlVM/default.jpg",False,False,False,"Yubin 숙녀 (淑女) M/VSpotify https://goo.gl/4FqgtyiTunes & Apple Music https://goo.gl/7fUFz2Google Play Music https://goo.gl/peqL31[Yubin Official] http://yubin.jype.comhttps://www.youtube.com/c/YubinOfficialhttp://www.facebook.com/YubinOfficialhttp://www.twitter.com/YubinOfficialhttp://fans.jype.com/YubinCopyrights 2018 ⓒ JYP Entertainment. All Rights Reserved","GB"
